RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
908,155,207,22,15,0.0,50,209.020,1:41.462,12,+2 Laps
908,820,206,17,16,0.0,50,211.233,1:40.399,12,+2 Laps
908,813,208,20,17,0.0,49,211.412,1:40.314,13,+3 Laps
908,3,131,1,18,0.0,28,216.203,1:38.091,6,Gearbox
908,828,207,21,19,0.0,11,203.295,1:44.319,22,Suspension
908,821,15,19,20,0.0,9,206.770,1:42.566,4,Collision
908,13,3,15,21,0.0,0,,,4,Collision
908,8,6,18,22,0.0,0,,,4,Collision
909,3,131,1,1,25.0,67,202.543,1:21.298,1,Finished
909,822,3,2,2,18.0,67,202.056,1:21.494,1,Finished
909,1,131,20,3,15.0,67,206.066,1:19.908,1,Finished
909,20,9,6,4,12.0,67,201.930,1:21.545,1,Finished
909,4,6,7,5,10.0,67,204.429,1:20.548,1,Finished
909,817,9,5,6,8.0,67,203.676,1:20.846,1,Finished
909,807,10,9,7,6.0,67,200.570,1:22.098,1,Finished
909,18,1,11,8,4.0,67,202.424,1:21.346,1,Finished
909,825,1,4,9,2.0,66,205.255,1:20.224,11,+1 Lap
909,815,10,10,10,1.0,66,203.913,1:20.752,11,+1 Lap
909,8,6,12,11,0.0,66,202.444,1:21.338,11,+1 Lap
909,813,208,18,12,0.0,66,200.065,1:22.305,11,+1 Lap
909,818,5,13,13,0.0,66,201.113,1:21.876,11,+1 Lap
909,821,15,16,14,0.0,66,200.790,1:22.008,11,+1 Lap
909,824,206,17,15,0.0,66,199.539,1:22.522,11,+1 Lap
909,155,207,19,16,0.0,65,198.711,1:22.866,12,+2 Laps
909,820,206,21,17,0.0,65,198.306,1:23.035,12,+2 Laps
909,828,207,22,18,0.0,65,197.842,1:23.230,12,+2 Laps
909,16,15,15,19,0.0,47,199.522,1:22.529,23,Brakes
909,826,5,8,20,0.0,44,200.372,1:22.179,44,Oil leak
909,154,208,14,21,0.0,26,195.709,1:24.137,47,Water leak
909,13,3,3,22,0.0,0,,,4,Collision
910,817,9,4,1,25.0,70,182.103,1:26.608,1,Finished
910,4,6,5,2,18.0,70,180.413,1:27.419,1,Finished
910,1,131,22,3,15.0,70,180.494,1:27.380,1,Finished
910,3,131,1,4,12.0,70,183.981,1:25.724,1,Finished
910,13,3,6,5,10.0,70,178.757,1:28.229,1,Finished
910,8,6,16,6,8.0,70,179.257,1:27.983,1,Finished
910,20,9,2,7,6.0,70,177.716,1:28.746,1,Finished
910,822,3,3,8,4.0,70,181.595,1:26.850,1,Finished
910,818,5,8,9,2.0,70,176.970,1:29.120,1,Finished
910,18,1,7,10,1.0,70,176.898,1:29.156,1,Finished
910,16,15,11,11,0.0,70,177.800,1:28.704,1,Finished
910,825,1,21,12,0.0,70,177.442,1:28.883,1,Finished
910,813,208,20,13,0.0,70,176.954,1:29.128,1,Finished
910,826,5,10,14,0.0,69,176.414,1:29.401,11,+1 Lap
910,824,206,15,15,0.0,69,175.468,1:29.883,11,+1 Lap
910,820,206,18,16,0.0,69,176.220,1:29.499,11,+1 Lap
910,821,15,13,17,0.0,33,174.300,1:30.485,31,Retired
910,155,207,17,18,0.0,26,169.791,1:32.888,31,Retired
910,815,10,12,19,0.0,23,174.696,1:30.280,3,Accident
910,807,10,9,20,0.0,16,155.921,1:41.151,3,Accident
910,154,208,14,21,0.0,11,148.352,1:46.312,3,Accident
910,828,207,19,22,0.0,8,145.415,1:48.459,3,Accident
911,817,9,5,1,25.0,44,223.187,1:52.974,1,Finished
911,3,131,1,2,18.0,44,228.161,1:50.511,1,Finished
911,822,3,6,3,15.0,44,223.698,1:52.716,1,Finished
911,8,6,8,4,12.0,44,221.004,1:54.090,1,Finished
911,20,9,3,5,10.0,44,223.229,1:52.953,1,Finished
911,18,1,10,6,8.0,44,222.186,1:53.483,1,Finished
911,4,6,4,7,6.0,44,221.413,1:53.879,1,Finished
911,815,10,13,8,4.0,44,220.151,1:54.532,1,Finished
911,826,5,11,9,2.0,44,220.870,1:54.159,1,Finished
911,807,10,18,10,1.0,44,221.934,1:53.612,1,Finished
911,818,5,12,11,0.0,44,222.592,1:53.276,1,Finished
911,825,1,7,12,0.0,44,220.785,1:54.203,1,Finished
911,13,3,9,13,0.0,44,224.104,1:52.512,1,Finished
911,16,15,14,14,0.0,44,224.301,1:52.413,1,Finished
911,821,15,20,15,0.0,44,221.178,1:54.000,1,Finished
911,820,206,19,16,0.0,43,218.785,1:55.247,11,+1 Lap
911,828,207,22,17,0.0,43,217.553,1:55.900,11,+1 Lap
911,824,206,16,18,0.0,39,216.717,1:56.347,6,Gearbox
911,1,131,2,19,0.0,38,221.748,1:53.707,31,Retired
911,154,208,15,20,0.0,33,218.025,1:55.649,31,Retired
911,813,208,17,21,0.0,1,,,26,Mechanical
911,827,207,21,22,0.0,1,,,131,Power Unit
912,1,131,1,1,25.0,53,236.975,1:28.004,1,Finished
912,3,131,2,2,18.0,53,236.432,1:28.206,1,Finished
912,13,3,4,3,15.0,53,236.068,1:28.342,1,Finished
912,822,3,3,4,12.0,53,235.490,1:28.559,1,Finished
912,817,9,9,5,10.0,53,235.413,1:28.588,1,Finished
912,20,9,8,6,8.0,53,233.952,1:29.141,1,Finished
912,815,10,10,7,6.0,53,234.042,1:29.107,1,Finished
912,18,1,6,8,4.0,53,233.680,1:29.245,1,Finished
912,8,6,11,9,2.0,53,234.476,1:28.942,1,Finished
912,825,1,5,10,1.0,53,233.580,1:29.283,1,Finished
912,826,5,21,11,0.0,53,235.684,1:28.486,1,Finished
912,807,10,13,12,0.0,53,233.363,1:29.366,1,Finished
912,818,5,12,13,0.0,53,234.005,1:29.121,1,Finished
912,813,208,16,14,0.0,52,232.091,1:29.856,11,+1 Lap
912,16,15,14,15,0.0,52,233.340,1:29.375,11,+1 Lap
912,154,208,17,16,0.0,52,231.506,1:30.083,11,+1 Lap
912,155,207,18,17,0.0,52,229.784,1:30.758,11,+1 Lap
912,824,206,19,18,0.0,52,230.386,1:30.521,11,+1 Lap
912,821,15,15,19,0.0,51,233.147,1:29.449,12,+2 Laps
912,828,207,22,20,0.0,51,231.001,1:30.280,12,+2 Laps
912,4,6,7,21,0.0,28,232.546,1:29.680,5,Engine
912,820,206,20,22,0.0,5,225.289,1:32.569,3,Accident
913,1,131,1,1,25.0,60,165.137,1:50.417,1,Finished
913,20,9,4,2,18.0,60,162.052,1:52.519,1,Finished
913,817,9,3,3,15.0,60,161.980,1:52.569,1,Finished
913,4,6,5,4,12.0,60,162.636,1:52.115,1,Finished
913,13,3,6,5,10.0,60,160.959,1:53.283,1,Finished
913,818,5,12,6,8.0,60,162.895,1:51.937,1,Finished
913,815,10,15,7,6.0,60,162.793,1:52.007,1,Finished
913,8,6,7,8,4.0,60,161.545,1:52.872,1,Finished
913,807,10,13,9,2.0,60,161.703,1:52.762,1,Finished
913,825,1,9,10,1.0,60,163.330,1:51.639,1,Finished
913,822,3,8,11,0.0,60,162.058,1:52.515,1,Finished
913,813,208,18,12,0.0,60,161.059,1:53.213,1,Finished
913,154,208,16,13,0.0,60,160.591,1:53.543,1,Finished
913,826,5,10,14,0.0,60,163.151,1:51.761,1,Finished
913,828,207,22,15,0.0,60,157.985,1:55.416,1,Finished
913,824,206,19,16,0.0,60,160.598,1:53.538,1,Finished
913,820,206,21,17,0.0,59,160.218,1:53.807,11,+1 Lap
913,18,1,11,18,0.0,52,160.359,1:53.707,31,Retired
913,16,15,17,19,0.0,40,160.020,1:53.948,34,Water pressure
913,821,15,14,20,0.0,17,157.619,1:55.684,10,Electrical
913,3,131,2,21,0.0,13,156.154,1:56.769,10,Electrical
913,155,207,20,22,0.0,0,,,131,Power Unit
914,1,131,2,1,25.0,44,187.322,1:51.600,1,Finished
914,3,131,1,2,18.0,44,185.739,1:52.551,1,Finished
914,20,9,9,3,15.0,44,186.795,1:51.915,1,Finished
914,817,9,6,4,12.0,44,186.269,1:52.231,1,Finished
914,18,1,8,5,10.0,44,187.119,1:51.721,1,Finished
914,822,3,3,6,8.0,44,183.213,1:54.103,1,Finished
914,13,3,4,7,6.0,44,184.267,1:53.450,1,Finished
914,807,10,13,8,4.0,44,185.306,1:52.814,1,Finished
914,818,5,20,9,2.0,44,184.086,1:53.562,1,Finished
914,815,10,11,10,1.0,43,184.095,1:53.556,11,+1 Lap
914,826,5,12,11,0.0,43,183.345,1:54.021,11,+1 Lap
914,8,6,10,12,0.0,43,185.946,1:52.426,11,+1 Lap
914,821,15,15,13,0.0,43,181.198,1:55.372,11,+1 Lap
