RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS
181,69,18,20,10,0.0,71,,,11,+1 Lap
181,37,21,21,11,0.0,71,,,11,+1 Lap
181,21,22,7,12,0.0,42,,,20,Spun off
181,71,17,18,13,0.0,31,,,10,Electrical
181,70,3,15,14,0.0,26,,,5,Engine
181,35,16,12,15,0.0,25,,,20,Spun off
181,25,22,13,16,0.0,25,,,20,Spun off
181,48,18,19,17,0.0,25,,,20,Spun off
181,55,15,2,18,0.0,24,,,20,Spun off
181,14,1,4,19,0.0,9,,,10,Electrical
181,64,15,11,20,0.0,6,,,7,Transmission
181,65,24,9,21,0.0,4,,,6,Gearbox
181,68,21,22,22,0.0,71,,,2,Disqualified
182,14,1,3,1,10.0,60,,,1,Finished
182,56,6,4,2,6.0,60,,,1,Finished
182,23,3,8,3,4.0,60,,,1,Finished
182,49,17,5,4,3.0,60,,,1,Finished
182,71,17,6,5,2.0,60,,,1,Finished
182,64,15,12,6,1.0,60,,,1,Finished
182,21,22,17,7,0.0,60,,,1,Finished
182,22,24,7,8,0.0,60,,,1,Finished
182,15,20,14,9,0.0,60,,,1,Finished
182,25,22,18,10,0.0,60,,,1,Finished
182,70,3,13,11,0.0,60,,,1,Finished
182,65,24,11,12,0.0,60,,,1,Finished
182,44,20,15,13,0.0,60,,,1,Finished
182,55,15,10,14,0.0,59,,,11,+1 Lap
182,48,18,22,15,0.0,58,,,12,+2 Laps
182,68,21,19,16,0.0,58,,,12,+2 Laps
182,41,16,16,17,0.0,41,,,22,Suspension
182,57,1,1,18,0.0,35,,,36,Wheel
182,35,16,9,19,0.0,29,,,86,Halfshaft
182,69,18,21,20,0.0,6,,,6,Gearbox
182,37,21,20,21,0.0,0,,,6,Gearbox
182,30,6,2,22,0.0,0,,,23,Brakes
183,56,6,3,1,10.0,71,,,1,Finished
183,14,1,2,2,6.0,71,,,1,Finished
183,57,1,1,3,4.0,71,,,1,Finished
183,49,17,4,4,3.0,71,,,1,Finished
183,25,22,10,5,2.0,71,,,1,Finished
183,64,15,16,6,1.0,71,,,1,Finished
183,15,20,13,7,0.0,70,,,11,+1 Lap
183,71,17,11,8,0.0,70,,,11,+1 Lap
183,63,6,7,9,0.0,70,,,11,+1 Lap
183,44,20,18,10,0.0,70,,,11,+1 Lap
183,48,18,22,11,0.0,70,,,11,+1 Lap
183,21,22,12,12,0.0,68,,,5,Engine
183,69,18,19,13,0.0,68,,,13,+3 Laps
183,65,24,6,14,0.0,67,,,14,+4 Laps
183,41,16,15,15,0.0,63,,,8,Clutch
183,22,24,5,16,0.0,55,,,5,Engine
183,55,15,17,17,0.0,49,,,60,Out of fuel
183,37,21,21,18,0.0,38,,,20,Spun off
183,70,3,14,19,0.0,35,,,60,Out of fuel
183,35,16,9,20,0.0,34,,,86,Halfshaft
183,68,21,20,21,0.0,25,,,5,Engine
183,23,3,8,22,0.0,8,,,20,Spun off
184,56,6,5,1,10.0,45,,,1,Finished
184,63,6,4,2,6.0,45,,,1,Finished
184,49,17,2,3,4.0,45,,,1,Finished
184,23,3,11,4,3.0,45,,,1,Finished
