RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POSITION,POINTS,STATUSID,STATUS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,ESTIMATED_FINISH_TIME,ESTIMATED_FINISH_TIME_STR,AVG_LAP_TIME
903,18,1,12,11,11.0,0.0,11,+1 Lap,53,189.829,1:43.375,6415.097,0 days 01:46:55.097000,109.99822641509434
903,818,5,9,12,12.0,0.0,11,+1 Lap,53,190.712,1:42.896,6421.352,0 days 01:47:01.352000,110.10549056603774
903,825,1,15,13,13.0,0.0,11,+1 Lap,53,191.075,1:42.701,6427.192,0 days 01:47:07.192000,110.20562264150944
903,813,208,22,14,14.0,0.0,11,+1 Lap,53,190.396,1:43.067,6436.046,0 days 01:47:16.046000,110.35743396226415
903,13,3,6,15,15.0,0.0,11,+1 Lap,53,191.676,1:42.379,6443.049,0 days 01:47:23.049000,110.4775283018868
903,821,15,17,16,16.0,0.0,11,+1 Lap,53,191.904,1:42.257,6453.723,0 days 01:47:33.723000,110.66054716981132
903,824,206,19,17,17.0,0.0,11,+1 Lap,53,187.203,1:44.825,6501.068,0 days 01:48:21.068000,111.47235849056604
903,155,207,18,18,18.0,0.0,11,+1 Lap,53,189.924,1:43.323,6500.71,0 days 01:48:20.710000,111.46622641509434
903,820,206,21,19,19.0,0.0,12,+2 Laps,52,190.751,1:42.875,6720.627,0 days 01:52:00.627000,112.12257692307692
903,828,207,20,20,20.0,0.0,12,+2 Laps,52,189.38,1:43.620,6742.732,0 days 01:52:22.732000,112.4913653846154
903,154,208,10,21,,0.0,6,Gearbox,28,188.026,1:44.366,10661.866,0 days 02:57:41.866000,107.8917857142857
903,16,15,14,22,,0.0,5,Engine,5,165.773,1:58.376,16408.581,0 days 04:33:28.581000,120.5804
904,1,131,1,1,1.0,25.0,1,Finished,66,187.275,1:29.483,6065.155,0 days 01:41:05.155000,91.89628787878787
904,3,131,2,2,2.0,18.0,1,Finished,66,187.794,1:29.236,6065.791,0 days 01:41:05.791000,91.90592424242423
904,817,9,3,3,3.0,15.0,1,Finished,66,186.175,1:30.012,6114.169,0 days 01:41:54.169000,92.63892424242424
904,20,9,15,4,4.0,12.0,1,Finished,66,188.465,1:28.918,6141.857,0 days 01:42:21.857000,93.0584393939394
904,822,3,4,5,5.0,10.0,1,Finished,66,185.326,1:30.424,6144.448,0 days 01:42:24.448000,93.09769696969695
904,4,6,7,6,6.0,8.0,1,Finished,66,186.411,1:29.898,6152.898,0 days 01:42:32.898000,93.22572727272728
904,8,6,6,7,7.0,6.0,11,+1 Lap,65,185.007,1:30.580,6654.752,0 days 01:50:54.752000,93.36072307692308
904,154,208,5,8,8.0,4.0,11,+1 Lap,65,184.016,1:31.068,6669.043,0 days 01:51:09.043000,93.5612153846154
904,815,10,11,9,9.0,2.0,11,+1 Lap,65,184.648,1:30.756,6670.248,0 days 01:51:10.248000,93.5781076923077
904,807,10,10,10,10.0,1.0,11,+1 Lap,65,183.325,1:31.411,6681.657,0 days 01:51:21.657000,93.73816923076924
904,18,1,8,11,11.0,0.0,11,+1 Lap,65,185.042,1:30.563,6686.576,0 days 01:51:26.576000,93.8071846153846
904,825,1,14,12,12.0,0.0,11,+1 Lap,65,185.544,1:30.318,6687.297,0 days 01:51:27.297000,93.8172923076923
904,13,3,9,13,13.0,0.0,11,+1 Lap,65,185.236,1:30.468,6687.934,0 days 01:51:27.934000,93.82623076923076
904,826,5,12,14,14.0,0.0,11,+1 Lap,65,185.645,1:30.269,6696.987,0 days 01:51:36.987000,93.95324615384617
904,813,208,22,15,15.0,0.0,11,+1 Lap,65,183.679,1:31.235,6705.826,0 days 01:51:45.826000,94.07724615384616
904,821,15,13,16,16.0,0.0,11,+1 Lap,65,184.832,1:30.666,6728.133,0 days 01:52:08.133000,94.3902
904,16,15,16,17,17.0,0.0,11,+1 Lap,65,183.201,1:31.473,6731.559,0 days 01:52:11.559000,94.43826153846156
904,824,206,18,18,18.0,0.0,12,+2 Laps,64,182.58,1:31.784,6970.342,0 days 01:56:10.342000,95.145265625
904,820,206,17,19,19.0,0.0,12,+2 Laps,64,182.614,1:31.767,7016.921,0 days 01:56:56.921000,95.7810625
904,828,207,19,20,20.0,0.0,12,+2 Laps,64,179.517,1:33.350,7040.797,0 days 01:57:20.797000,96.10696875
904,155,207,20,21,,0.0,23,Brakes,34,180.069,1:33.064,12859.354,0 days 03:34:19.354000,96.93467647058824
904,818,5,21,22,,0.0,43,Exhaust,24,182.586,1:31.781,14608.253,0 days 04:03:28.253000,95.81695833333332
905,3,131,1,1,1.0,25.0,1,Finished,78,151.388,1:19.425,6567.661,0 days 01:49:27.661000,84.20078205128205
905,1,131,2,2,2.0,18.0,1,Finished,78,151.51,1:19.361,6576.871,0 days 01:49:36.871000,84.31885897435897
905,817,9,3,3,3.0,15.0,1,Finished,78,151.718,1:19.252,6577.275,0 days 01:49:37.275000,84.32403846153845
905,4,6,5,4,4.0,12.0,1,Finished,78,150.814,1:19.727,6600.113,0 days 01:50:00.113000,84.61683333333333
905,807,10,11,5,5.0,10.0,11,+1 Lap,77,148.872,1:20.767,7208.078,0 days 02:00:08.078000,85.56597402597403
905,18,1,12,6,6.0,8.0,11,+1 Lap,77,148.358,1:21.047,7208.288,0 days 02:00:08.288000,85.56846753246754
905,13,3,16,7,7.0,6.0,11,+1 Lap,77,149.712,1:20.314,7209.064,0 days 02:00:09.064000,85.5776883116883
905,154,208,14,8,8.0,4.0,11,+1 Lap,77,148.482,1:20.979,7227.785,0 days 02:00:27.785000,85.79992207792208
905,824,206,21,9,9.0,2.0,11,+1 Lap,77,147.98,1:21.254,7226.189,0 days 02:00:26.189000,85.78097402597403
905,825,1,8,10,10.0,1.0,11,+1 Lap,77,149.075,1:20.657,7237.838,0 days 02:00:37.838000,85.91925974025975
905,828,207,22,11,11.0,0.0,11,+1 Lap,77,148.607,1:20.911,7249.459,0 days 02:00:49.459000,86.05720779220779
905,8,6,6,12,12.0,0.0,11,+1 Lap,77,153.212,1:18.479,7250.127,0 days 02:00:50.127000,86.06512987012988
905,155,207,20,13,13.0,0.0,12,+2 Laps,75,145.878,1:22.425,7808.697,0 days 02:10:08.697000,87.81710666666667
905,820,206,19,14,14.0,0.0,13,+3 Laps,75,149.22,1:20.579,7867.442,0 days 02:11:07.442000,88.47776
905,821,15,17,15,,0.0,3,Accident,59,148.177,1:21.146,10937.124,0 days 03:02:17.124000,86.55527118644069
905,822,3,13,16,,0.0,5,Engine,55,148.252,1:21.105,11791.173,0 days 03:16:31.173000,86.87867272727273
905,818,5,7,17,,0.0,5,Engine,50,148.292,1:21.083,12905.48,0 days 03:35:05.480000,87.54226
905,16,15,18,18,,0.0,3,Accident,23,147.062,1:21.761,18563.236,0 days 05:09:23.236000,88.14452173913044
905,826,5,9,19,,0.0,26,Mechanical,10,146.614,1:22.011,22683.453,0 days 06:18:03.453000,94.1144
905,20,9,4,20,,0.0,101,Turbo,5,100.615,1:59.505,30438.203,0 days 08:27:18.203000,120.4424
905,815,10,10,21,,0.0,4,Collision,0,,,,NaT,
905,813,208,15,22,,0.0,54,Withdrew,0,,,,NaT,
906,817,9,6,1,1.0,25.0,1,Finished,70,199.638,1:18.640,5952.83,0 days 01:39:12.830000,85.04042857142856
906,3,131,1,2,2.0,18.0,1,Finished,70,199.028,1:18.881,5957.066,0 days 01:39:17.066000,85.10094285714285
906,20,9,3,3,3.0,15.0,1,Finished,70,198.299,1:19.171,5958.077,0 days 01:39:18.077000,85.11538571428572
906,18,1,9,4,4.0,12.0,1,Finished,70,199.337,1:18.759,5964.585,0 days 01:39:24.585000,85.20835714285714
906,807,10,11,5,5.0,10.0,1,Finished,70,198.89,1:18.936,5965.673,0 days 01:39:25.673000,85.2239
906,4,6,7,6,6.0,8.0,1,Finished,70,199.704,1:18.614,5967.699,0 days 01:39:27.699000,85.25284285714285
906,822,3,4,7,7.0,6.0,1,Finished,70,197.924,1:19.321,5976.408,0 days 01:39:36.408000,85.37725714285715
906,818,5,8,8,8.0,4.0,1,Finished,70,197.73,1:19.399,5980.856,0 days 01:39:40.856000,85.4408
906,825,1,12,9,9.0,2.0,1,Finished,70,199.185,1:18.819,5982.084,0 days 01:39:42.084000,85.45834285714285
906,8,6,10,10,10.0,1.0,1,Finished,70,199.921,1:18.529,6006.508,0 days 01:40:06.508000,85.80725714285714
906,815,10,13,11,11.0,0.0,4,Collision,69,197.501,1:19.491,6420.155,0 days 01:47:00.155000,84.92268115942029
906,13,3,5,12,12.0,0.0,4,Collision,69,199.984,1:18.504,6420.319,0 days 01:47:00.319000,84.92485507246376
