RACEID,DRIVERID,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
964,3,1.0,0 days 01:26:43.333000,01:26:43.333000
964,830,2.0,0 days 01:26:48.311000,01:26:48.311000
964,1,3.0,0 days 01:26:49.109000,01:26:49.109000
964,20,4.0,0 days 01:27:03.602000,01:27:03.602000
964,8,5.0,0 days 01:27:11.703000,01:27:11.703000
964,817,6.0,0 days 01:27:17.274000,01:27:17.274000
964,815,7.0,0 days 01:27:40.828000,01:27:40.828000
964,807,8.0,0 days 01:27:42.510000,01:27:42.510000
964,13,9.0,0 days 01:28:21.096000,01:28:21.096000
964,822,10.0,0 days 01:28:21.656000,01:28:21.656000
964,154,11.0,0 days 01:28:22.587000,01:28:22.587000
964,835,12.0,0 days 01:26:59.811000,01:26:59.811000
964,826,13.0,0 days 01:27:05.855000,01:27:05.855000
964,825,14.0,0 days 01:27:15.522000,01:27:15.522000
964,828,15.0,0 days 01:27:16.276000,01:27:16.276000
964,4,16.0,0 days 01:27:18.424000,01:27:18.424000
964,832,17.0,0 days 01:27:19.306000,01:27:19.306000
964,18,18.0,0 days 01:27:22.778000,01:27:22.778000
964,831,19.0,0 days 01:27:31.584000,01:27:31.584000
964,821,20.0,0 days 01:27:34.653000,01:27:34.653000
964,839,21.0,0 days 01:27:36.784000,01:27:36.784000
964,836,22.0,0 days 01:27:56.644000,01:27:56.644000
965,1,1.0,0 days 01:38:12.618000,01:38:12.618000
965,3,2.0,0 days 01:38:17.138000,01:38:17.138000
965,817,3.0,0 days 01:38:32.310000,01:38:32.310000
965,20,4.0,0 days 01:38:55.752000,01:38:55.752000
965,4,5.0,0 days 01:39:46.571000,01:39:46.571000
965,832,6.0,0 days 01:39:48.742000,01:39:48.742000
965,13,7.0,0 days 01:38:19.087000,01:38:19.087000
965,815,8.0,0 days 01:38:33.660000,01:38:33.660000
965,18,9.0,0 days 01:38:35.617000,01:38:35.617000
965,154,10.0,0 days 01:38:43.518000,01:38:43.518000
965,826,11.0,0 days 01:39:07.442000,01:39:07.442000
965,825,12.0,0 days 01:39:03.131000,01:39:03.131000
965,835,13.0,0 days 01:39:13.772000,01:39:13.772000
965,828,14.0,0 days 01:39:18.588000,01:39:18.588000
965,831,15.0,0 days 01:39:35.362000,01:39:35.362000
965,822,16.0,0 days 01:39:45.667000,01:39:45.667000
965,836,17.0,0 days 01:39:46.822000,01:39:46.822000
965,839,18.0,0 days 01:38:36.495000,01:38:36.495000
965,8,,0 days 01:07:32.749000,01:07:32.749000
965,807,,0 days 00:02:23.182000,00:02:23.182000
965,821,,0 days 00:29:28.943000,00:29:28.943000
965,830,,0 days 00:49:28.119000,00:49:28.119000
966,1,1.0,0 days 01:40:31.402000,01:40:31.402000
966,3,2.0,0 days 01:40:39.756000,01:40:39.756000
966,817,3.0,0 days 01:40:52.260000,01:40:52.260000
966,830,4.0,0 days 01:40:47.725000,01:40:47.725000
966,20,5.0,0 days 01:40:48.715000,01:40:48.715000
966,8,6.0,0 days 01:41:20.778000,01:41:20.778000
966,807,7.0,0 days 01:41:30.293000,01:41:30.293000
966,822,8.0,0 days 01:41:37.014000,01:41:37.014000
966,13,9.0,0 days 01:41:47.608000,01:41:47.608000
966,815,10.0,0 days 01:41:48.200000,01:41:48.200000
966,828,11.0,0 days 01:41:06.179000,01:41:06.179000
966,18,12.0,0 days 01:41:12.962000,01:41:12.962000
966,4,13.0,0 days 01:41:21.399000,01:41:21.399000
966,835,14.0,0 days 01:41:27.597000,01:41:27.597000
966,831,15.0,0 days 01:41:35.456000,01:41:35.456000
966,832,16.0,0 days 01:41:32.263000,01:41:32.263000
966,825,17.0,0 days 01:41:41.268000,01:41:41.268000
966,826,18.0,0 days 01:41:36.274000,01:41:36.274000
966,821,19.0,0 days 01:41:41.934000,01:41:41.934000
966,154,20.0,0 days 01:41:50.937000,01:41:50.937000
966,839,21.0,0 days 01:41:01.123000,01:41:01.123000
967,1,1.0,0 days 03:01:01.335000,03:01:01.335000
967,3,2.0,0 days 03:01:12.790000,03:01:12.790000
967,830,3.0,0 days 03:01:22.816000,03:01:22.816000
967,815,4.0,0 days 03:01:26.681000,03:01:26.681000
967,20,5.0,0 days 03:01:27.669000,03:01:27.669000
967,832,6.0,0 days 03:01:30.495000,03:01:30.495000
967,807,7.0,0 days 03:01:31.162000,03:01:31.162000
967,817,8.0,0 days 03:01:31.821000,03:01:31.821000
967,831,9.0,0 days 03:01:43.955000,03:01:43.955000
967,4,10.0,0 days 03:01:45.767000,03:01:45.767000
967,822,11.0,0 days 03:01:46.627000,03:01:46.627000
967,839,12.0,0 days 03:01:47.144000,03:01:47.144000
967,826,13.0,0 days 03:01:52.527000,03:01:52.527000
967,825,14.0,0 days 03:01:52.890000,03:01:52.890000
967,836,15.0,0 days 03:02:01.833000,03:02:01.833000
967,18,16.0,0 days 03:02:23.329000,03:02:23.329000
967,8,,0 days 00:35:46.612000,00:35:46.612000
967,13,,0 days 02:20:54.430000,02:20:54.430000
967,821,,0 days 02:46:07.069000,02:46:07.069000
967,828,,0 days 00:21:10.514000,00:21:10.514000
967,835,,0 days 00:38:25.510000,00:38:25.510000
968,1,1.0,0 days 01:38:04.013000,01:38:04.013000
968,3,2.0,0 days 01:38:04.452000,01:38:04.452000
968,20,3.0,0 days 01:38:04.856000,01:38:04.856000
968,830,4.0,0 days 01:38:05.698000,01:38:05.698000
968,817,5.0,0 days 01:38:09.328000,01:38:09.328000
968,8,6.0,0 days 01:38:22.829000,01:38:22.829000
968,807,7.0,0 days 01:38:54.127000,01:38:54.127000
968,815,8.0,0 days 01:39:02.789000,01:39:02.789000
968,13,9.0,0 days 01:39:03.449000,01:39:03.449000
968,4,10.0,0 days 01:39:03.909000,01:39:03.909000
968,154,11.0,0 days 01:39:20.790000,01:39:20.790000
968,821,12.0,0 days 01:39:39.126000,01:39:39.126000
968,839,13.0,0 days 01:38:34.474000,01:38:34.474000
968,836,14.0,0 days 01:38:40.779000,01:38:40.779000
968,828,15.0,0 days 01:38:41.672000,01:38:41.672000
968,831,16.0,0 days 01:38:47.042000,01:38:47.042000
968,835,17.0,0 days 01:38:50.205000,01:38:50.205000
968,18,,0 days 00:22:42.839000,00:22:42.839000
968,822,,0 days 00:11:03.071000,00:11:03.071000
968,825,,0 days 00:09:47.308000,00:09:47.308000
