RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
902,813,208,17,14,0.0,57,195.484,1:39.666,1,Finished,14.0,0 days 01:40:45.546000,01:40:45.546000
902,155,207,18,15,0.0,57,192.434,1:41.246,1,Finished,15.0,0 days 01:41:10.643000,01:41:10.643000
902,824,206,19,16,0.0,56,190.684,1:42.175,11,+1 Lap,16.0,0 days 01:40:59.565000,01:40:59.565000
902,18,1,6,17,0.0,55,195.683,1:39.565,8,Clutch,17.0,0 days 01:37:37.883000,01:37:37.883000
902,825,1,8,18,0.0,40,194.621,1:40.108,8,Clutch,,0 days 01:09:15.174000,01:09:15.174000
902,821,15,15,19,0.0,39,193.481,1:40.698,4,Collision,,0 days 01:07:38.800000,01:07:38.800000
902,828,207,20,20,0.0,33,192.647,1:41.134,31,Retired,,0 days 00:57:58.846000,00:57:58.846000
902,818,5,14,21,0.0,18,191.669,1:41.650,31,Retired,,0 days 00:32:48.815000,00:32:48.815000
902,16,15,22,22,0.0,17,191.403,1:41.791,4,Collision,,0 days 00:32:53.340000,00:32:53.340000
903,1,131,1,1,25.0,54,193.916,1:41.196,1,Finished,1.0,0 days 01:36:52.810000,01:36:52.810000
903,3,131,4,2,18.0,54,195.45,1:40.402,1,Finished,2.0,0 days 01:37:11.496000,01:37:11.496000
903,4,6,5,3,15.0,54,192.235,1:42.081,1,Finished,3.0,0 days 01:37:18.575000,01:37:18.575000
903,817,9,2,4,12.0,54,193.387,1:41.473,1,Finished,4.0,0 days 01:37:19.788000,01:37:19.788000
903,20,9,3,5,10.0,54,192.07,1:42.169,1,Finished,5.0,0 days 01:37:43.822000,01:37:43.822000
903,807,10,8,6,8.0,54,191.218,1:42.624,1,Finished,6.0,0 days 01:37:50.391000,01:37:50.391000
903,822,3,7,7,6.0,54,191.151,1:42.660,1,Finished,7.0,0 days 01:37:50.955000,01:37:50.955000
903,8,6,11,8,4.0,54,191.824,1:42.300,1,Finished,8.0,0 days 01:38:16.800000,01:38:16.800000
903,815,10,16,9,2.0,54,191.959,1:42.228,1,Finished,9.0,0 days 01:38:19.299000,01:38:19.299000
903,826,5,13,10,1.0,53,189.899,1:43.337,11,+1 Lap,10.0,0 days 01:36:59.136000,01:36:59.136000
903,18,1,12,11,0.0,53,189.829,1:43.375,11,+1 Lap,11.0,0 days 01:37:09.906000,01:37:09.906000
903,818,5,9,12,0.0,53,190.712,1:42.896,11,+1 Lap,12.0,0 days 01:37:15.591000,01:37:15.591000
903,825,1,15,13,0.0,53,191.075,1:42.701,11,+1 Lap,13.0,0 days 01:37:20.898000,01:37:20.898000
903,813,208,22,14,0.0,53,190.396,1:43.067,11,+1 Lap,14.0,0 days 01:37:28.944000,01:37:28.944000
903,13,3,6,15,0.0,53,191.676,1:42.379,11,+1 Lap,15.0,0 days 01:37:35.309000,01:37:35.309000
903,821,15,17,16,0.0,53,191.904,1:42.257,11,+1 Lap,16.0,0 days 01:37:45.009000,01:37:45.009000
903,824,206,19,17,0.0,53,187.203,1:44.825,11,+1 Lap,17.0,0 days 01:38:28.035000,01:38:28.035000
903,155,207,18,18,0.0,53,189.924,1:43.323,11,+1 Lap,18.0,0 days 01:38:27.710000,01:38:27.710000
903,820,206,21,19,0.0,52,190.751,1:42.875,12,+2 Laps,19.0,0 days 01:37:10.374000,01:37:10.374000
903,828,207,20,20,0.0,52,189.38,1:43.620,12,+2 Laps,20.0,0 days 01:37:29.551000,01:37:29.551000
903,154,208,10,21,0.0,28,188.026,1:44.366,6,Gearbox,,0 days 00:50:20.970000,00:50:20.970000
903,16,15,14,22,0.0,5,165.773,1:58.376,5,Engine,,0 days 00:10:02.902000,00:10:02.902000
904,1,131,1,1,25.0,66,187.275,1:29.483,1,Finished,1.0,0 days 01:41:05.155000,01:41:05.155000
904,3,131,2,2,18.0,66,187.794,1:29.236,1,Finished,2.0,0 days 01:41:05.791000,01:41:05.791000
904,817,9,3,3,15.0,66,186.175,1:30.012,1,Finished,3.0,0 days 01:41:54.169000,01:41:54.169000
904,20,9,15,4,12.0,66,188.465,1:28.918,1,Finished,4.0,0 days 01:42:21.857000,01:42:21.857000
904,822,3,4,5,10.0,66,185.326,1:30.424,1,Finished,5.0,0 days 01:42:24.448000,01:42:24.448000
904,4,6,7,6,8.0,66,186.411,1:29.898,1,Finished,6.0,0 days 01:42:32.898000,01:42:32.898000
