RACEID,DRIVERID,CONSTRUCTORID,GRID,POSITIONORDER,POINTS,LAPS,FASTESTLAPSPEED,FASTESTLAPTIME,STATUSID,STATUS,POSITION,FINISH_TIME_INT_SEC,FINISH_TIME_STR
176,72,18,18,16,0.0,31,,,20,Spun off,,0 days 00:42:50.145000,00:42:50.145000
176,55,15,14,17,0.0,27,,,6,Gearbox,,0 days 00:37:15.031000,00:37:15.031000
176,14,1,2,18,0.0,22,,,6,Gearbox,,0 days 00:34:20.981000,00:34:20.981000
176,15,20,13,19,0.0,21,,,6,Gearbox,,0 days 00:30:20.768000,00:30:20.768000
176,65,24,10,20,0.0,15,,,9,Hydraulics,,0 days 00:22:57.879000,00:22:57.879000
176,71,17,7,21,0.0,10,,,4,Collision,,0 days 00:14:17.096000,00:14:17.096000
176,41,16,0,22,0.0,0,,,81,Did not qualify,,,
177,30,6,3,1,10.0,62,,,1,Finished,1.0,0 days 01:33:44.792000,01:33:44.792000
177,14,1,2,2,6.0,62,,,1,Finished,2.0,0 days 01:33:49.057000,01:33:49.057000
177,22,24,6,3,4.0,61,,,11,+1 Lap,3.0,0 days 01:33:46.721000,01:33:46.721000
177,71,17,8,4,3.0,61,,,11,+1 Lap,4.0,0 days 01:33:47.629000,01:33:47.629000
177,21,22,16,5,2.0,61,,,11,+1 Lap,5.0,0 days 01:34:27.002000,01:34:27.002000
177,55,15,13,6,1.0,61,,,11,+1 Lap,6.0,0 days 01:34:33.056000,01:34:33.056000
177,63,16,19,7,0.0,59,,,13,+3 Laps,7.0,0 days 01:32:08.096000,01:32:08.096000
177,69,18,22,8,0.0,59,,,13,+3 Laps,8.0,0 days 01:33:53.344000,01:33:53.344000
177,48,18,21,9,0.0,59,,,13,+3 Laps,9.0,0 days 01:34:16.112000,01:34:16.112000
177,65,24,12,10,0.0,58,,,5,Engine,10.0,0 days 01:29:37.619000,01:29:37.619000
177,70,3,10,11,0.0,58,,,20,Spun off,11.0,0 days 01:29:45.043000,01:29:45.043000
177,64,15,15,12,0.0,49,,,20,Spun off,,0 days 01:19:53.188000,01:19:53.188000
177,44,20,11,13,0.0,48,,,37,Throttle,,0 days 01:15:55.648000,01:15:55.648000
177,56,6,4,14,0.0,46,,,5,Engine,,0 days 01:09:57.831000,01:09:57.831000
177,49,17,7,15,0.0,46,,,20,Spun off,,0 days 01:10:27.090000,01:10:27.090000
177,68,21,20,16,0.0,29,,,32,Fuel pressure,,0 days 00:46:16.071000,00:46:16.071000
177,23,3,9,17,0.0,28,,,37,Throttle,,0 days 00:42:52.208000,00:42:52.208000
177,57,1,1,18,0.0,17,,,20,Spun off,,0 days 00:25:25.912000,00:25:25.912000
177,37,21,18,19,0.0,5,,,20,Spun off,,0 days 00:08:00.812000,00:08:00.812000
177,25,22,17,20,0.0,5,,,20,Spun off,,0 days 00:08:01.536000,00:08:01.536000
177,35,16,14,21,0.0,0,,,6,Gearbox,,,
177,15,20,5,22,0.0,0,,,20,Spun off,,,
178,30,6,2,1,10.0,78,,,1,Finished,1.0,0 days 01:49:31.812000,01:49:31.812000
178,56,6,4,2,6.0,78,,,1,Finished,2.0,0 days 01:50:02.288000,01:50:02.288000
178,57,1,1,3,4.0,78,,,1,Finished,3.0,0 days 01:50:09.295000,01:50:09.295000
178,49,17,6,4,3.0,78,,,1,Finished,4.0,0 days 01:50:25.821000,01:50:25.821000
178,21,22,9,5,2.0,77,,,11,+1 Lap,5.0,0 days 01:49:32.705000,01:49:32.705000
178,25,22,10,6,1.0,77,,,11,+1 Lap,6.0,0 days 01:49:47.799000,01:49:47.799000
178,15,20,7,7,0.0,77,,,11,+1 Lap,7.0,0 days 01:50:05.845000,01:50:05.845000
178,70,3,11,8,0.0,76,,,12,+2 Laps,8.0,0 days 01:49:49.514000,01:49:49.514000
178,22,24,5,9,0.0,71,,,20,Spun off,9.0,0 days 01:40:57.711000,01:40:57.711000
178,23,3,16,10,0.0,54,,,20,Spun off,,0 days 01:18:39.706000,01:18:39.706000
178,55,15,14,11,0.0,50,,,22,Suspension,,0 days 01:12:39.935000,01:12:39.935000
178,64,15,15,12,0.0,49,,,22,Suspension,,0 days 01:10:17.884000,01:10:17.884000
178,44,20,18,13,0.0,40,,,5,Engine,,0 days 00:58:19.531000,00:58:19.531000
178,14,1,3,14,0.0,36,,,6,Gearbox,,0 days 00:51:04.063000,00:51:04.063000
178,63,16,12,15,0.0,36,,,23,Brakes,,0 days 00:52:10.908000,00:52:10.908000
178,68,21,19,16,0.0,36,,,5,Engine,,0 days 00:53:01.863000,00:53:01.863000
178,35,16,8,17,0.0,32,,,44,Oil leak,,0 days 00:45:43.711000,00:45:43.711000
178,65,24,13,18,0.0,32,,,22,Suspension,,0 days 00:46:18.632000,00:46:18.632000
178,37,21,21,19,0.0,30,,,6,Gearbox,,0 days 00:44:51.758000,00:44:51.758000
178,48,18,22,20,0.0,24,,,20,Spun off,,0 days 00:35:53.524000,00:35:53.524000
178,69,18,20,21,0.0,10,,,6,Gearbox,,0 days 00:15:14.013000,00:15:14.013000
178,71,17,17,22,0.0,3,,,4,Collision,,0 days 00:04:41.990000,00:04:41.990000
179,57,1,1,1,10.0,65,,,1,Finished,1.0,0 days 01:34:13.665000,01:34:13.665000
179,14,1,3,2,6.0,65,,,1,Finished,2.0,0 days 01:34:19.903000,01:34:19.903000
179,30,6,4,3,4.0,65,,,1,Finished,3.0,0 days 01:34:24.510000,01:34:24.510000
179,56,6,2,4,3.0,65,,,1,Finished,4.0,0 days 01:34:43.847000,01:34:43.847000
179,23,3,10,5,2.0,65,,,1,Finished,5.0,0 days 01:35:40.873000,01:35:40.873000
179,15,20,9,6,1.0,64,,,11,+1 Lap,6.0,0 days 01:34:24.028000,01:34:24.028000
179,71,17,11,7,0.0,64,,,11,+1 Lap,7.0,0 days 01:34:25.044000,01:34:25.044000
